total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash,short_window,long_window,atr_mult,strategy,entry_window,exit_window,bb_period,bb_std,rsi_period,oversold,overbought,trend_ma,lookback,consec_bars,trail_atr_mult,ma_period,mom_period,min_votes,ema_period,atr_period,entry_period,exit_period,atr_stop_mult,fast,slow,signal,tenkan,kijun,senkou_b,min_agree,tf_short,tf_long,short_ma,long_ma
1.0470471801083645,104.70471801083644,204704.71801083646,1.5698700176305507,2.41397493290344,23.26080689075276,75.0,5,100000.0,25.0,200.0,0.5,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0470471801083645,104.70471801083644,204704.71801083646,1.5698700176305507,2.41397493290344,23.26080689075276,75.0,5,100000.0,25.0,200.0,0.3,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9195688852512693,91.95688852512693,191956.88852512694,1.4838965612684691,2.2925160902922816,23.26080689075276,66.66666666666666,4,100000.0,25.0,200.0,0.8,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8303974641870856,83.03974641870856,183039.74641870856,1.477031793645213,2.2980058649787978,22.928977472347036,66.66666666666666,4,100000.0,20.0,200.0,1.0,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6105685155358835,61.05685155358835,161056.85155358835,1.3369346635277717,2.1152769652197105,19.610005590736083,50.0,3,100000.0,15.0,200.0,1.0,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4661881914255806,46.61881914255806,146618.81914255806,1.2561479467655816,2.063701809819261,15.711825824068615,25.0,5,100000.0,15.0,120.0,1.0,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7709691617362499,77.09691617362499,177096.91617362498,1.250963473485722,1.9127551361201645,21.701975520929555,60.0,6,100000.0,20.0,200.0,0.8,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7709691617362499,77.09691617362499,177096.91617362498,1.250963473485722,1.9127551361201645,21.701975520929555,60.0,6,100000.0,20.0,200.0,0.3,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7709691617362499,77.09691617362499,177096.91617362498,1.250963473485722,1.9127551361201645,21.701975520929555,60.0,6,100000.0,20.0,200.0,0.5,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.12645917481025332,12.645917481025332,112645.91748102533,1.242666508029181,2.2040595209936376,2.985724285184907,100.0,3,100000.0,,,,RSIExtreme,,,,,14.0,15.0,70.0,100.0,,,,,,,,,,,,,,,,,,,,,,
0.6024728905413494,60.247289054134946,160247.28905413495,1.2325762421365287,1.9131479038083858,20.829645784055554,50.0,5,100000.0,15.0,200.0,0.5,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6024728905413494,60.247289054134946,160247.28905413495,1.2325762421365287,1.9131479038083858,20.829645784055554,50.0,5,100000.0,15.0,200.0,0.8,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6024728905413494,60.247289054134946,160247.28905413495,1.2325762421365287,1.9131479038083858,20.829645784055554,50.0,5,100000.0,15.0,200.0,0.3,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.233779463170168,23.3779463170168,123377.9463170168,1.190939106382097,2.056219102649054,6.0447257038606335,44.44444444444444,27,100000.0,,,,AggressiveMom,,,,,,,,,50.0,4.0,1.5,,,,,,,,,,,,,,,,,,,
