total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash,short_window,long_window,atr_mult,strategy,entry_window,exit_window,bb_period,bb_std,rsi_period,oversold,overbought,trend_ma,lookback,consec_bars,trail_atr_mult,ma_period,mom_period,min_votes,ema_period,atr_period,entry_period,exit_period,atr_stop_mult,fast,slow,signal,tenkan,kijun,senkou_b,min_agree,tf_short,tf_long,short_ma,long_ma
0.8477564722238727,84.77564722238728,184775.64722238726,1.8863695668364688,3.8068726181955213,11.49135547679817,37.93103448275862,29,100000.0,,,,AggressiveMom,,,,,,,,,50.0,4.0,1.5,,,,,,,,,,,,,,,,,,,
1.5384463598794822,153.8446359879482,253844.63598794822,1.7463054606173873,2.785707015736308,17.728109827987172,50.0,5,100000.0,20.0,200.0,0.8,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7865933242948877,78.65933242948877,178659.33242948877,1.7008229548121336,3.2475439143606875,12.12358028211832,36.84210526315789,38,100000.0,,,,AggressiveMom,,,,,,,,,30.0,4.0,1.5,,,,,,,,,,,,,,,,,,,
0.2684184907722594,26.841849077225937,126841.84907722594,1.688405857291581,2.844409094999809,4.844942118302135,100.0,5,100000.0,,,,RSIExtreme,,,,,14.0,15.0,70.0,200.0,,,,,,,,,,,,,,,,,,,,,,
0.7248451684714341,72.48451684714341,172484.51684714342,1.6705375551216641,3.294984993720409,13.119147773302863,37.93103448275862,29,100000.0,,,,AggressiveMom,,,,,,,,,50.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
0.7707759511265975,77.07759511265975,177077.59511265974,1.6045036041040905,2.9460210790069916,16.84801441149618,37.5,40,100000.0,,,,AggressiveMom,,,,,,,,,50.0,3.0,1.5,,,,,,,,,,,,,,,,,,,
0.5611656181723118,56.11656181723118,156116.56181723118,1.595065767746434,2.8271427391971646,13.105515556731406,100.0,2,100000.0,30.0,150.0,1.5,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.74831334003095,74.831334003095,174831.334003095,1.5633578194274815,3.0166091267296897,18.847927094416857,43.75,32,100000.0,,,,Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.0,150.0,,
0.6287973321649061,62.87973321649061,162879.7332164906,1.5599987280759096,2.833957449902049,12.839831052343817,50.0,30,100000.0,,,,Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25.0,150.0,,
0.6322707098839594,63.22707098839594,163227.07098839595,1.5216323904096207,2.7486737678432713,15.16269135559239,50.0,30,100000.0,,,,Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,150.0,,
0.7733659420182475,77.33659420182475,177336.59420182474,1.4857274484372633,2.5746114816657024,14.152788355453652,46.42857142857143,28,100000.0,,,,AggressiveMom,,,,,,,,,50.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
0.5846633275781157,58.46633275781157,158466.3327578116,1.4641603137248982,2.6305865754235485,13.758471133552563,46.875,32,100000.0,,,,Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25.0,200.0,,
0.8068814471420707,80.68814471420707,180688.14471420707,1.4581164380188747,2.467698904449482,14.726396116548598,47.22222222222222,36,100000.0,,,,AggressiveMom,,,,,,,,,30.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
0.6654725554013177,66.54725554013177,166547.25554013177,1.429134618555597,2.5901371832713815,16.96799316982426,40.0,40,100000.0,,,,AggressiveMom,,,,,,,,,50.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
0.5686554071478954,56.86554071478954,156865.54071478953,1.4246491867526938,2.5365501501283654,13.89163827062847,47.05882352941176,34,100000.0,,,,Ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.0,200.0,,
0.6134443928078,61.34443928078001,161344.43928078,1.3982582289985002,2.574840535662243,15.792876605088354,34.21052631578947,38,100000.0,,,,AggressiveMom,,,,,,,,,30.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
0.8028263763313103,80.28263763313103,180282.63763313103,1.3792835584944276,2.2127001777571884,17.72810982798716,33.33333333333333,4,100000.0,20.0,200.0,1.0,TrendMA_Filtered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
