symbol,event,event_type,impact,date,strategy,total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash
BTC-USDT,关税升级恐慌,MACRO,bearish,2025-04-07,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
BTC-USDT,美联储暂停降息,MACRO,neutral,2026-01-15,IchiMom_v2,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
BTC-USDT,美联储暂停降息,MACRO,neutral,2026-01-15,AggrMom,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
BTC-USDT,美联储暂停降息,MACRO,neutral,2026-01-15,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,BTC 第四次减半,PROTOCOL,neutral,2024-04-20,IchiMom_v2,-0.014071127363814303,-1.4071127363814302,98592.88726361857,-2.3675599742250286,-3.0502116366842285,1.9673948762123563,0.0,1,100000.0
ETH-USDT,BTC 第四次减半,PROTOCOL,neutral,2024-04-20,AggrMom,-0.014071127363814303,-1.4071127363814302,98592.88726361857,-2.3675599742250286,-3.0502116366842285,1.9673948762123563,0.0,1,100000.0
ETH-USDT,BTC 第四次减半,PROTOCOL,neutral,2024-04-20,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,ETH Spot ETF 获批预期,ETF,bullish,2024-05-23,IchiMom_v2,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,ETH Spot ETF 获批预期,ETF,bullish,2024-05-23,AggrMom,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,ETH Spot ETF 获批预期,ETF,bullish,2024-05-23,TrendMA_Filt,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
