total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash,short_window,long_window,strategy,atr_mult,entry_window,exit_window,bb_period,bb_std
0.91609994915302,91.609994915302,191609.994915302,1.1078747395421067,1.6032631352513471,40.74902464869616,40.0,25,100000.0,20.0,100.0,TrendMA_Filtered,1.0,,,,
0.5473620034095472,54.736200340954724,154736.2003409547,0.8127646765247388,1.1427461515331139,40.35843892426141,50.0,24,100000.0,30.0,100.0,TrendMA_Filtered,1.0,,,,
0.5275592931831936,52.75592931831936,152755.92931831937,0.8038004091449186,1.187668281559188,28.79017241883049,45.3125,65,100000.0,10.0,50.0,TrendMA_Filtered,1.0,,,,
0.10267098974976281,10.267098974976282,110267.09897497628,0.3355261477230994,0.47801831293316394,50.007882317842736,39.62264150943396,107,100000.0,10.0,50.0,TrendMA_Filtered,0.5,,,,
0.10572931514928147,10.572931514928147,110572.93151492815,0.31899457654081487,0.44808711163479364,41.302490217163545,30.0,20,100000.0,30.0,200.0,TrendMA_Filtered,1.0,,,,
0.03997150362242741,3.9971503622427407,103997.15036224274,0.27764440452239747,0.3954807245896548,42.381911481099124,37.719298245614034,115,100000.0,10.0,50.0,TrendMA_Filtered,0.3,,,,
0.03792687621406469,3.792687621406469,103792.68762140647,0.2592101689327959,0.3631035236856928,49.6539058043897,26.190476190476193,42,100000.0,10.0,200.0,TrendMA_Filtered,0.5,,,,
0.035626476532302914,3.5626476532302913,103562.64765323029,0.256772819977184,0.3597336961860181,49.76548990700781,25.581395348837212,43,100000.0,10.0,200.0,TrendMA_Filtered,0.3,,,,
0.06681308906093923,6.681308906093923,106681.30890609392,0.2547983397672239,0.37077044914831675,45.52891028429515,43.63636363636363,55,100000.0,30.0,50.0,TrendMA_Filtered,1.0,,,,
0.003037609559636039,0.3037609559636039,100303.7609559636,0.24251864827709316,0.34371875062020407,49.687028905367974,21.428571428571427,43,100000.0,20.0,200.0,TrendMA_Filtered,0.3,,,,
-0.00604008214434245,-0.604008214434245,99395.99178556575,0.207753800774813,0.2965733110484217,50.534159443287244,31.343283582089555,68,100000.0,30.0,200.0,TrendMA,,,,,
-0.03682881208305509,-3.6828812083055094,96317.11879169449,0.20219789226435642,0.2838706515789009,65.1209810168733,38.23529411764706,35,100000.0,30.0,200.0,TrendMA_Filtered,0.5,,,,
-0.03682881208305509,-3.6828812083055094,96317.11879169449,0.20219789226435642,0.2838706515789009,65.1209810168733,38.23529411764706,35,100000.0,30.0,200.0,TrendMA_Filtered,0.3,,,,
-0.04376652335906125,-4.376652335906125,95623.34766409388,0.20178853293279042,0.28620207007681703,55.28369487897595,36.36363636363637,44,100000.0,20.0,100.0,TrendMA_Filtered,0.5,,,,
-0.05620197468700702,-5.620197468700702,94379.8025312993,0.19062246954077713,0.27028741644056703,55.283694878975965,36.95652173913043,46,100000.0,20.0,100.0,TrendMA_Filtered,0.3,,,,
-0.019988731155285787,-1.9988731155285786,98001.12688447142,0.17086883356038846,0.2513964196991713,52.42854300955061,30.069930069930066,144,100000.0,,,MomentumBreakout,,50.0,30.0,,
0.015911097660103842,1.5911097660103841,101591.10976601038,0.160031871055641,0.24774917720637152,33.34290294668686,31.08108108108108,148,100000.0,,,MomentumBreakout,,100.0,10.0,,
0.0026031150504108517,0.2603115050410852,100260.31150504109,0.15631539949365475,0.23946851472299258,29.945154818792552,32.158590308370044,227,100000.0,,,MomentumBreakout,,50.0,10.0,,
-0.10258111497184437,-10.258111497184437,89741.88850281556,0.11895181812894513,0.16785904359084458,49.687028905367974,21.951219512195124,41,100000.0,20.0,200.0,TrendMA_Filtered,0.5,,,,
-0.1529249174714356,-15.292491747143561,84707.50825285644,0.03095562302858735,0.04452017739522518,60.032010881742714,29.906542056074763,108,100000.0,30.0,100.0,TrendMA,,,,,
-0.20440413126351226,-20.440413126351224,79559.58687364878,-0.019977744182670478,-0.027757584230989767,61.81526168261387,34.146341463414636,42,100000.0,10.0,100.0,TrendMA_Filtered,1.0,,,,
-0.23821399414393804,-23.821399414393802,76178.6005856062,-0.06710039083901402,-0.09496939145467964,65.0572150505945,38.84297520661157,122,100000.0,30.0,50.0,TrendMA_Filtered,0.5,,,,
-0.2514353482864931,-25.14353482864931,74856.46517135069,-0.08115722525805462,-0.11501629717194331,65.05721505059448,38.095238095238095,127,100000.0,30.0,50.0,TrendMA_Filtered,0.3,,,,
-0.31771855613415523,-31.77185561341552,68228.14438658448,-0.14776181357662152,-0.20503912052899453,59.801700231519725,39.6551724137931,58,100000.0,30.0,100.0,TrendMA_Filtered,0.5,,,,
-0.3195466484399479,-31.95466484399479,68045.33515600521,-0.15051133063750016,-0.20885368950796362,59.801700231519725,38.983050847457626,59,100000.0,30.0,100.0,TrendMA_Filtered,0.3,,,,
-0.17016241288597173,-17.016241288597172,82983.75871140283,-0.15594093440089601,-0.2235047410750349,44.361424080888376,31.914893617021278,48,100000.0,20.0,50.0,TrendMA_Filtered,1.0,,,,
-0.1931064345716065,-19.31064345716065,80689.35654283935,-0.16196503072764212,-0.23596229754637443,47.93742553451392,28.57142857142857,99,100000.0,,,MomentumBreakout,,100.0,30.0,,
-0.3935692380593252,-39.35692380593252,60643.07619406748,-0.19743389939237835,-0.2748059062770893,62.82379614412231,32.78688524590164,62,100000.0,10.0,100.0,TrendMA_Filtered,0.5,,,,
-0.4094920442178675,-40.94920442178675,59050.79557821325,-0.22188633921561063,-0.30880364020131096,63.49344862706236,31.746031746031743,64,100000.0,10.0,100.0,TrendMA_Filtered,0.3,,,,
-0.34780340657897196,-34.7803406578972,65219.6593421028,-0.24225484860088717,-0.34669747013970864,62.19225339944083,34.375,97,100000.0,20.0,50.0,TrendMA_Filtered,0.3,,,,
-0.3312117880785422,-33.12117880785422,66878.82119214578,-0.2439232722057006,-0.351347718473028,62.02919099543037,27.81456953642384,152,100000.0,10.0,100.0,TrendMA,,,,,
-0.20864034091176697,-20.8640340911767,79135.9659088233,-0.24665663103100402,-0.3643732333554681,48.05799375230516,32.47863247863248,117,100000.0,,,MomentumBreakout,,100.0,20.0,,
-0.3336167095301964,-33.36167095301964,66638.32904698036,-0.2579873782103307,-0.36668968947198033,54.57644065227532,20.930232558139537,87,100000.0,20.0,200.0,TrendMA,,,,,
-0.3518262953006775,-35.18262953006775,64817.37046993225,-0.2666015045254985,-0.3799071164287039,61.282076178188014,34.48275862068966,88,100000.0,20.0,50.0,TrendMA_Filtered,0.5,,,,
