total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash,tenkan,kijun,senkou_b,symbol
-0.1862921609465315,-18.62921609465315,81370.78390534685,-0.5724458270947755,-0.8129054129639375,24.8794075687017,30.0,50,100000.0,7,20,40,BTC-USDT
-0.21066898119977254,-21.066898119977253,78933.10188002275,-0.7223692129021531,-1.0199441547582304,22.603894945406136,27.659574468085108,47,100000.0,7,20,52,BTC-USDT
-0.07488309753854454,-7.488309753854454,92511.69024614555,-0.17627305549971753,-0.26192421032599206,20.4375378162162,30.434782608695656,46,100000.0,7,20,60,BTC-USDT
0.27402087662096614,27.402087662096612,127402.08766209662,0.7363314984884195,1.142005348792948,19.69000321408376,38.095238095238095,43,100000.0,7,26,40,BTC-USDT
0.21296804754036944,21.296804754036945,121296.80475403694,0.6140148546960194,0.9443717763473304,19.69000321408376,36.58536585365854,42,100000.0,7,26,52,BTC-USDT
0.2509258593959987,25.09258593959987,125092.58593959987,0.7028039512123139,1.0920480337209408,17.176835819190316,36.58536585365854,42,100000.0,7,26,60,BTC-USDT
-0.09912076331954944,-9.912076331954944,90087.92366804506,-0.18224737321424958,-0.2677297473321121,23.472585890220152,23.404255319148938,48,100000.0,7,30,40,BTC-USDT
-0.07665175372389538,-7.6651753723895375,92334.82462761046,-0.12323202536544013,-0.18032342159825965,21.814461146789647,23.91304347826087,47,100000.0,7,30,52,BTC-USDT
-0.060451974780614544,-6.045197478061454,93954.80252193855,-0.07645996209409128,-0.11198200647529562,20.769974096908083,23.91304347826087,47,100000.0,7,30,60,BTC-USDT
0.059150785956442124,5.9150785956442125,105915.07859564421,0.2440747289642226,0.36810291488964697,21.210040653314717,28.57142857142857,43,100000.0,7,35,40,BTC-USDT
0.08218693412014429,8.218693412014428,108218.69341201443,0.29976462191872894,0.45240413137380736,19.32003215033918,28.205128205128204,40,100000.0,7,35,52,BTC-USDT
0.08611281192718802,8.611281192718803,108611.2811927188,0.3090544558979323,0.4664107485413791,19.027347323653952,28.205128205128204,40,100000.0,7,35,60,BTC-USDT
-0.043558391732359016,-4.355839173235902,95644.1608267641,-0.0352234301382361,-0.05256284391040549,27.087637606455043,32.69230769230769,52,100000.0,9,20,40,BTC-USDT
-0.0792059025584087,-7.92059025584087,92079.40974415913,-0.15340262611732383,-0.22801008874416062,23.600489796239234,32.0,50,100000.0,9,20,52,BTC-USDT
-0.07582800951683413,-7.582800951683414,92417.19904831659,-0.15575675040384857,-0.23052710547867877,23.221547351130333,30.612244897959183,49,100000.0,9,20,60,BTC-USDT
