symbol,strategy,total_return,total_return_pct,final_value,sharpe_ratio,sortino_ratio,max_drawdown_pct,win_rate_pct,total_trades,init_cash
BTC-USDT,TrendMA_Filt,1.0470471801083645,104.70471801083644,204704.71801083646,1.5698700176305507,2.41397493290344,23.26080689075276,75.0,5,100000.0
BTC-USDT,AggressiveMom,0.233779463170168,23.3779463170168,123377.9463170168,1.190939106382097,2.056219102649054,6.0447257038606335,44.44444444444444,27,100000.0
BTC-USDT,RSIExtreme,-0.11334034196092689,-11.33403419609269,88665.96580390731,-0.16910356597060988,-0.2383704822851249,24.353908037221185,50.0,20,100000.0
BTC-USDT,MomBreakout,0.3202766446125887,32.02766446125887,132027.66446125886,0.6996291245693675,1.0600290375821335,28.55676075600282,42.10526315789473,39,100000.0
BTC-USDT,MeanRevBB,-0.11734824638047182,-11.734824638047183,88265.17536195282,-0.118306658983362,-0.16189097580012127,34.78986042465733,58.490566037735846,53,100000.0
BTC-USDT,Ichimoku,0.1465491606345025,14.65491606345025,114654.91606345025,0.4906014203382067,0.7437900398387661,17.328681944894576,33.33333333333333,37,100000.0
BTC-USDT,Keltner,-0.39832495124044404,-39.83249512404441,60167.504875955594,-0.8116107966213447,-1.150385191491121,54.751715421355506,30.252100840336134,120,100000.0
BTC-USDT,Turtle,-0.3190852093273852,-31.908520932738522,68091.47906726148,-0.7543872666006377,-1.0840015840139947,38.6928223325171,35.03649635036496,137,100000.0
BTC-USDT,MACD_Hist,-0.16446449326408955,-16.446449326408956,83553.55067359105,-0.34659483633531113,-0.5122265996366802,38.46020662033698,28.125,97,100000.0
BTC-USDT,SuperTrend,0.06794610684352854,6.794610684352855,106794.61068435285,0.5831775965718156,1.1416895621880796,3.8837183992585302,100.0,1,100000.0
BTC-USDT,MultiTF,0.08307888655591086,8.307888655591086,108307.88865559109,0.3433083226690404,0.5101131979301375,15.189063072978456,50.0,34,100000.0
BTC-USDT,MultiFactor,-0.036871218952390046,-3.6871218952390046,96312.878104761,0.06806780856306495,0.0975428835351181,30.407153370295998,28.57142857142857,57,100000.0
BTC-USDT,Adaptive,0.1503930453951795,15.03930453951795,115039.30453951795,0.46710336955675424,0.6632651580581334,16.97954341120413,58.490566037735846,53,100000.0
BTC-USDT,Router,0.05535670239940009,5.535670239940009,105535.67023994001,0.23224334616147824,0.3307844586216277,20.996928440457722,43.07692307692308,66,100000.0
BTC-USDT,Ensemble,0.0069745991310010145,0.6974599131001015,100697.4599131001,0.21870966951287357,0.33849399578506045,1.3943079813540733,50.0,2,100000.0
BTC-USDT,DynSelector,-0.02393952672861007,-2.393952672861007,97606.047327139,0.03518697049064028,0.05072834487662426,20.577591359072446,32.432432432432435,38,100000.0
ETH-USDT,TrendMA_Filt,-0.09581973487883923,-9.581973487883923,90418.02651211608,0.11901225831905801,0.16618183036353054,66.03962390550991,14.285714285714285,7,100000.0
ETH-USDT,AggressiveMom,0.8477564722238727,84.77564722238728,184775.64722238726,1.8863695668364688,3.8068726181955213,11.49135547679817,37.93103448275862,29,100000.0
ETH-USDT,RSIExtreme,-0.10737454906297061,-10.737454906297062,89262.54509370294,-0.11004250082346646,-0.15100963064743336,25.833927626675273,43.75,16,100000.0
ETH-USDT,MomBreakout,-0.01969092090361766,-1.9690920903617661,98030.90790963823,0.14109639063709464,0.20980931218451568,45.22371925200635,35.0,40,100000.0
ETH-USDT,MeanRevBB,-0.3872207345671048,-38.72207345671048,61277.92654328952,-0.48617149517980524,-0.641400162575444,55.84451116843996,58.82352941176471,51,100000.0
ETH-USDT,Ichimoku,0.27874292286673663,27.874292286673665,127874.29228667366,0.6256895574558421,0.9927887746102416,30.163591127415383,25.64102564102564,39,100000.0
ETH-USDT,Keltner,-0.48949806276323665,-48.94980627632366,51050.19372367633,-0.7199438555915851,-1.0490155361142404,59.46205015244346,22.04724409448819,128,100000.0
ETH-USDT,Turtle,-0.1844825848928692,-18.44825848928692,81551.74151071308,-0.20500818117906974,-0.3107368266279925,41.57510717913899,28.26086956521739,138,100000.0
ETH-USDT,MACD_Hist,0.5091895241892638,50.91895241892638,150918.95241892638,0.8654257660615348,1.3855920583637749,27.985764011162868,32.926829268292686,83,100000.0
ETH-USDT,SuperTrend,-0.32974063847212803,-32.974063847212804,67025.9361527872,-1.4940309501934255,-1.7873960641733595,37.328178107690654,14.285714285714285,7,100000.0
ETH-USDT,MultiTF,0.275231177822802,27.5231177822802,127523.1177822802,0.7258076495410624,1.0808173198303908,15.158711378197811,50.0,35,100000.0
ETH-USDT,MultiFactor,0.26650279525985054,26.650279525985056,126650.27952598505,0.49635263863156165,0.7300457927318867,39.24108744347066,29.09090909090909,56,100000.0
ETH-USDT,Adaptive,-0.5695062070130618,-56.95062070130618,43049.37929869383,-1.4385363689908164,-1.7786021997292616,60.869563484410136,52.38095238095239,42,100000.0
ETH-USDT,Router,-0.2818015244169801,-28.18015244169801,71819.84755830199,-0.4044546900782506,-0.5509419114778028,44.77513501488301,38.18181818181819,55,100000.0
ETH-USDT,Ensemble,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0,100000.0
ETH-USDT,DynSelector,-0.2509371939894707,-25.093719398947066,74906.28060105293,-0.4154630782087105,-0.5779030353110814,43.256138979412334,27.027027027027028,37,100000.0
SOL-USDT,TrendMA_Filt,-0.07738660797116448,-7.738660797116448,92261.33920288355,0.13758829302590142,0.1994541301137942,47.97501224144899,40.0,6,100000.0
SOL-USDT,AggressiveMom,-0.12659765181704352,-12.659765181704351,87340.23481829565,-0.3396431496478588,-0.5321516771546796,22.81214569091986,31.428571428571427,35,100000.0
SOL-USDT,RSIExtreme,0.16900826002498884,16.900826002498885,116900.82600249888,0.4058256481019254,0.6155664308752695,31.757929793586857,54.54545454545454,11,100000.0
SOL-USDT,MomBreakout,-0.41269665373877445,-41.269665373877444,58730.33462612255,-0.4558519677263493,-0.6483284507408044,68.37887149187047,34.090909090909086,44,100000.0
SOL-USDT,MeanRevBB,0.05638008969302391,5.638008969302391,105638.00896930239,0.26154625605018983,0.3647933572393601,44.43476599063978,66.66666666666666,57,100000.0
SOL-USDT,Ichimoku,0.19232880448052253,19.232880448052253,119232.88044805225,0.44606295995362916,0.6622469503605201,30.47272827557339,34.146341463414636,41,100000.0
SOL-USDT,Keltner,-0.5552385355289242,-55.52385355289242,44476.14644710758,-0.7142974303839774,-1.0125465960997844,74.1910446799215,29.411764705882355,119,100000.0
SOL-USDT,Turtle,-0.2672166598721355,-26.721665987213548,73278.33401278645,-0.22118486640682725,-0.33393125515345745,54.57906559277438,34.306569343065696,137,100000.0
SOL-USDT,MACD_Hist,0.3945460384050041,39.454603840500404,139454.6038405004,0.6609265150572899,1.010032550400393,42.10382504257794,40.74074074074074,82,100000.0
SOL-USDT,SuperTrend,0.16204382620942692,16.20438262094269,116204.38262094269,0.4223349441931424,0.6790204005920109,28.29961177541525,50.0,10,100000.0
SOL-USDT,MultiTF,-0.017178826626221853,-1.7178826626221853,98282.11733737781,0.07284537806923601,0.10303227989377935,21.150141070782198,35.714285714285715,29,100000.0
SOL-USDT,MultiFactor,-0.059296826130901314,-5.929682613090131,94070.31738690987,0.16031318835154906,0.23323136548568804,46.55237062798527,36.36363636363637,56,100000.0
SOL-USDT,Adaptive,-0.09295273672258117,-9.295273672258118,90704.72632774188,-0.002971807542080844,-0.004099858726139314,44.379846953883025,57.89473684210527,38,100000.0
SOL-USDT,Router,-0.24016076704963576,-24.016076704963577,75983.92329503642,-0.2320537204823444,-0.32822857293983576,39.07859140861353,43.63636363636363,55,100000.0
SOL-USDT,Ensemble,0.0038259307878778783,0.3825930787877878,100382.59307878779,0.08700668189201757,0.1164803894227406,2.709819622085982,50.0,2,100000.0
SOL-USDT,DynSelector,0.4886923671381833,48.86923671381833,148869.23671381833,0.8499437416370159,1.3010584753179313,27.93527860499521,55.55555555555556,45,100000.0
DOGE-USDT,TrendMA_Filt,-0.5871570905756062,-58.715709057560616,41284.29094243938,-0.5499642950792851,-0.7703490200106012,72.83317183949514,20.0,6,100000.0
DOGE-USDT,AggressiveMom,0.27001101384568377,27.001101384568376,127001.10138456838,0.5995567806383086,1.0452392278957978,26.815908643413593,35.8974358974359,39,100000.0
DOGE-USDT,RSIExtreme,-0.7284895498860832,-72.84895498860831,27151.04501139169,-1.3001502512586403,-1.6793232609023985,77.51674052192573,33.33333333333333,13,100000.0
DOGE-USDT,MomBreakout,0.8507939256852501,85.07939256852501,185079.392568525,0.8640314923975512,1.3374111790241343,39.831998519035075,37.142857142857146,35,100000.0
DOGE-USDT,MeanRevBB,-0.37797750826701026,-37.79775082670103,62202.24917329897,-0.3323982861959912,-0.4392020017362386,57.63961810710765,57.14285714285714,56,100000.0
DOGE-USDT,Ichimoku,2.4021064383752284,240.21064383752284,340210.64383752283,1.5363488064031008,2.628892443314164,34.795642207853554,36.11111111111111,36,100000.0
DOGE-USDT,Keltner,0.7434262489598952,74.34262489598952,174342.62489598952,0.7687790095874965,1.234790389768988,46.601455693714364,27.27272727272727,110,100000.0
DOGE-USDT,Turtle,1.3827846759702982,138.27846759702982,238278.4675970298,1.1878787997455638,1.974099317630823,25.66888416496814,35.24590163934426,122,100000.0
DOGE-USDT,MACD_Hist,1.7978063029959117,179.78063029959117,279780.63029959117,1.3080125527492372,2.232167374738716,48.183824251182386,36.986301369863014,74,100000.0
DOGE-USDT,SuperTrend,-0.29573802252654163,-29.573802252654165,70426.19774734584,-0.6114065111749373,-0.8500776080709684,46.33450426722381,26.666666666666668,15,100000.0
DOGE-USDT,MultiTF,-0.06643097271260806,-6.643097271260806,93356.9027287392,-0.01952011793130138,-0.02708418157410329,30.35209491052726,43.47826086956522,24,100000.0
DOGE-USDT,MultiFactor,0.20268800346543633,20.26880034654363,120268.80034654363,0.44576421966713015,0.6768999078595401,60.49084379874592,22.22222222222222,55,100000.0
DOGE-USDT,Adaptive,-0.5623159567829561,-56.23159567829561,43768.40432170439,-1.0947083264712116,-1.3585317532176793,62.18049491092773,50.0,40,100000.0
DOGE-USDT,Router,0.8216445147933994,82.16445147933995,182164.45147933994,0.8761694684678645,1.412799384372892,36.140485765948085,41.02564102564102,39,100000.0
DOGE-USDT,Ensemble,0.007171025988715701,0.71710259887157,100717.10259887157,0.18374256736733627,0.2681646350209729,2.1371854366699843,100.0,1,100000.0
DOGE-USDT,DynSelector,0.182935463868582,18.2935463868582,118293.5463868582,0.4091186623894661,0.6142260799206977,34.37229951231214,31.428571428571427,35,100000.0
